VC,HQ,Geographies,Focus areas,Stage,Ticket size,Website,Portfolio examples in the Baltics
Specialist VC,Tallinn,"Baltics,CEE","B2B,Marketplace,Saas,AI,Software,Deeptech","Pre-Seed,Seed,Series A",<3M€,https://specialist.vc,"Bolt, Veriff, Comodule"
Lemonade Stand,Tallinn,"Baltics,Eastern Europe","Agnostic,B2B,AI,Software","Pre-Seed,Seed",25k-300k€,https://lemonadestand.ee,"Planet42, Veriff, Interactio"
Superangel ,Tallinn,"Baltics,Nordics,Global","AI,Software,Fintech,Mobility,Robotics,Saas,Logistics,B2B,Deeptech","Pre-Seed,Seed",25k-500k€,https://www.superangel.io,"Bolt, Starship, Veriff, Montonio, Salv"
Tera VC,Tallinn,"Baltics,Denmark,Sweden,Finland,Czech Republic ,Poland","Agnostic,AI,ML,Automation,Fintech","Pre-Seed,Seed,Series A",200k-1.5M€,https://www.tera.vc/#content,"Monese, Lingvist, Scoro"
Change Ventures,Tallinn,Baltics,Agnostic,"Pre-Seed,Seed",400k-2M€,https://www.changeventures.com/#team,"Printify, Veriff, Nordigen"
Karma VC,Tallinn,"Baltics,Nordics,Europe","Deeptech,Software","Seed,Series A",<5M€,https://www.karma.vc,"Plumbr, Xolo, MeetFrank"
Honey Badger VC,Tallinn,"CEE,Baltics","AI,ML,Impact,Cleantech,B2B,Saas","Pre-Seed,Seed",50k-150k€,https://badger.ee,"Single.Earth, Woola, Vok Bikes"
Sten+Taavet (not a fund),Tallinn,Europe,"Fintech,Climate,Education,Crypto,DeFi,Health,Work","Pre-Seed,Seed,Growth",250k-1M€,https://www.crunchbase.com/organization/taavet-sten,
Startup Wise Guys,Tallinn,"Baltics,Italy,Denmark,Africa,Global","Fintech,Cyber,B2B,Saas,Sustainability","Pre-Seed,Seed",55k-250k€,https://startupwiseguys.com,"Fractory, Planet42, Comodule, EstateGuru, VOCHI, .kevin, Ondato, Wolf 3D"
Trind,Tallinn,Europe,Agnostic,"Pre-Seed,Seed",100k-500k€,https://trind.vc,
Spring Capital,Tallinn,"Baltics,Nordics",Agnostic,"Seed,Growth",50k-200k€,https://springcapital.ee,
Little Green Fund,Tallinn,,,,,https://www.littlegreenfund.com,
Sunly (not a fund),Tallinn,"Baltics,Poland","Electrification,Climate,Energy,E-mobility","Pre-Seed,Seed",100k-500k€,https://sunly.ee/en/sunly-startup-en/,"Skeleton, Solarstone, Beast, GridIo"
Yolo VC,Tallinn,Global,"Fintech,Gaming,Crypto","Seed,Series A",,www.yolo.io,
Siena Secondary Fund,Tallinn,"Baltics,Nordics,CEE",Agnostic,Secondaries,500k-5M€,www.siena2ndary.com,"Bolt, Testlio, Starship"
Eigen Kapital (not a fund),Tallinn,Europe,Agnostic,"Seed,Growth",250k-500k€,http://www.eigenkapital.co,"Roofit.solar, Milrem Robotics, Timbeter, Hepta Airborne"
Thorgate Ventures,Tallinn,Europe,B2B,"Pre-Seed,Seed,Series A",€10k - 500k ,http://thorgateventures.com,"Xolo, Seedcamp, Waybiller, Globalreader, Remato, Moderan, Cuploop"
Kaamos Group,Tallinn,Estonia,Agnostic,"Pre-Seed,Seed,Series A",50€-250k€,https://kaamos.ee/start-up/,"Bolt, Veriff, FoodDocs, Fractory, Comodule, Remato, Kingdom, EyeVi, "
FFF.vc,Tallinn,Estonia,Agnostic,"Seed,Pre-Series A,Series A",250k- 700k€ ,https://fff.vc,"Votemo, Insly, DriveX"
Gamy Amy,"Tallinn,London",EMEA,"Women-led fintech,Edtech,Metaverse","Pre-Seed,Seed",10k-25k€ ,https://www.linkedin.com/company/gamy-amy/,
