Competes with product,Name,Website,Focus,Funding,Country,Details,Pricing,Customer estimation
"Robotic Apiary (Products%2058e0ca42932f483aa6654f96baccb97a/Robotic%20Apiary%20c14f4ea70f3146b5868a2d7874b8a958.html) ",https://beewise.ag/home,https://beewise.ag/,"nest, robot, vision",120M,Israel,Industrial level robotic beehives with image processing. Rent model,"v1 - 600$ (40 hives)

v2 - $400/month per container + 2000$ delivery",
"📱Web-app ",Nectar,https://www.nectar.buzz/,software,,Canada,Beekeeping organizer for migratory beekeepers,,
"Entrance Observer (Products%2058e0ca42932f483aa6654f96baccb97a/Entrance%20Observer%20b0319799ab7744dc928c08119de4fc43.html) ",Apic.ai,https://apic.ai/research.html,"entrance, vision",🔬,Germany,"scientific research, counter","video + scale + sensor
350 € - 550 € per ",
"Entrance Observer (Products%2058e0ca42932f483aa6654f96baccb97a/Entrance%20Observer%20b0319799ab7744dc928c08119de4fc43.html) ",Best Bees,https://bestbees.com/smarthive-lp/,"entrance, robot, varroa, vision",,US,,,
"Entrance Observer (Products%2058e0ca42932f483aa6654f96baccb97a/Entrance%20Observer%20b0319799ab7744dc928c08119de4fc43.html) ",Beemate,https://beemate.buzz/,"entrance, vision",,Australia,"Entrance tracking, 
temperature, humidity and sound sensors",,
"Entrance Observer (Products%2058e0ca42932f483aa6654f96baccb97a/Entrance%20Observer%20b0319799ab7744dc928c08119de4fc43.html) ",VimanaTech & B-honey: Purple Hive project,https://www.vimanatech.com.au/about,"entrance, sms, varroa, vision",,Australia,Varroa mite detection at the entrance,,
"Entrance Observer (Products%2058e0ca42932f483aa6654f96baccb97a/Entrance%20Observer%20b0319799ab7744dc928c08119de4fc43.html) ",🇨🇿 BeeLogger,https://github.com/boortel/Bee-Health-Monitor/tree/main,"entrance, vision",🔬,Czech Republic,"open source, raspberry pi",,
"Beehive IoT sensors (Products%2058e0ca42932f483aa6654f96baccb97a/Beehive%20IoT%20sensors%2026aad244cdf64f4e8596d050f44f0bed.html) ",BeeHero,https://www.beehero.io/,analog,42M,Israel,"Low-signal hardware
SaaS app
Industrial focus",,
"Robotic Beehive (Products%2058e0ca42932f483aa6654f96baccb97a/Robotic%20Beehive%20fd9559a2950b44bc8291972299ced18e.html) ",RoboRoyale,https://roboroyale.eu/,"nest, robot, vision",🔬,Czech Republic,,,
"Web-app (Products%2058e0ca42932f483aa6654f96baccb97a/Web-app%202937ed264e1d434a8664caa4bc40978e.html) ",BeeScanning,https://www.beescanning.com/,"software, vision",,Sweden,Varroa mite detection with mobile app and image recognition,40 € /year,5k
"📱Web-app ",HiveTracks,https://www.hivetracks.com/,software,,USA / NC,nice UI / hive manager,70 € / year,1k downloads
"📱Web-app ",HiveBloom,,software,,,"nice UI / hive manager
android / ios",20 € / year,5k downloads
"📱Web-app ",Apizoom,https://www.apizoom.app/,"software, varroa, vision",,Switzerland,"android / ios
(Dead) Varroa mite detection on hive bottom. Requires a photo of the coin present",,
