Name,Start date,End date,URL,Organizer,Location
Sent deck to bdpartners.cz,"May 31, 2024","June 19, 2024",,,
Visiting Latitude59,"May 22, 2024","May 24, 2024",,,
http://Prototron.ee fund programm - TOP 25,"April 11, 2024","May 5, 2024",https://prototron.ee,Prototron fund,TalTech main hall
EAS.ee deeptech grant qualifications webinar,"March 27, 2024","March 27, 2024",,,MS Teams
Kanal 7 interview,"March 20, 2024","March 20, 2024",,Duomedia / Kanal 7 / Anna-Maria Ouertani,
Founders Live pitching,"February 29, 2024","February 29, 2024",founderslive.com,Jaanika Umalas,"Palo Alto Club, Tallinn, Estonia"
Visiting Startup Day 2024,"January 24, 2024","January 26, 2024",,,Tartu
Devclub.eu talk about AI and bees,"December 20, 2023","December 20, 2023",devclub.eu,,
EstoniAI Meetup v5,"December 6, 2023","December 6, 2023",https://lu.ma/EstoniAI5,Workland,"Fahle, Tallinn"
Garage 48 Cassini hackathon,"November 3, 2023","November 5, 2023",https://taikai.network/cassinihackathons/hackathons/intdev-humaid,Garage48,
Climathon hackathon,"October 27, 2023","October 28, 2023",https://www.facebook.com/events/1317371698987678,https://www.cleantechestonia.ee/,"Mektory, Tallinn"
Participated in 3-day Tehnopol tech startup bootcamp,"October 10, 2023","October 17, 2023",https://www.tehnopol.ee/events/event/?organizer=3147&id=71426-tech-startup-bootcamp-3-paeva-x-online-x-vene-keeles,Tehnopol,remote
Pitch to purposetech.vc,"June 17, 2024",,,,
Sent deck to http://tilia.vc/,"June 5, 2024",,,,
Pitch to 500co,"April 12, 2024",,https://500.co/,,
Winner in API World + AI DevWorld Hackaton 2023,"October 27, 2023",,https://api-world-hackathon-2023.devpost.com/project-gallery,,Remote
Featured in a Delfi article,"October 23, 2023",,https://rus.delfi.ee/statja/120241694/programmist-pchelovod-u-menya-poyavilas-mechta-o-robote-kotoryy-budet-obsluzhivat-paseku-kak-vysokie-tehnologii-mogut-pomoch-pchelam,,
Pitch to Picus Capital,"January 12, 2023",,https://www.picuscap.com/,,remote
