Tags,Name
must,"able to adjust to frame size and hive section size of customer’s choice (Langstroth, Farrar, National etc)"
must,should not harm human operator - Regulations and Compliance (../Company%20overview%20ed6a7f2b729c4ef5924aa47d4d9a22e6/Legal%20&%20compliance%20e871f9865d37421ab19a2d5ffac2a174/Regulations%20and%20Compliance%20ea041ffac1014656b46abb9846e8fb39.html) (ex. breaking hands)
must,"not kill 🐝 bees [squashing with moving mechanisms, cause hypothermia, open to stealing or attacks via cracks]"
must,be able to extract frame if bees glued it with wax
must,"not 🔥 ignite from overheating, sun, electrical wiring etc. Beewax is highly flammable"
must,move frame that is full of honey (4kg)
must,"be repairable (modular, hot-swappable)"
must,be offline-first. Provide data to beekeeper without internet or cloud account
must,provide manual on-site control over frame movement
must,fallback to safe mode on power loss
must,fallback to safe mode on internet connection loss
should,"allow manual extraction/replacement of specific frame by beekeeper, without opening the hive (for cross-family resource balancing, honey separation etc)"
should,take into account bee morphology for material design (bee’s grip)
should,"container box vary in size depending on frame size (langstroth, estonian, farrar, dadan etc)"
should,take photos in the dark / poor lighting
should,not be affected by bees flying
should,survive winter temperatures of -30C
should,survive direct sunlight of +60C weather
should,not disturb bees or beekeeper with noise (occasional 55db max)
should,not have high-power (220V) voltage cords inside the hive near the bees
should,not have chemically/aroma active compounds (plastic) inside the hive
should,avoid (cold) metal exposed to bees inside the hive
should,keep hive internals at 50-60% humidity (ventilation on top)
should,design bee movements to be efficient while navigating inside the hive
should,do inspection without major interruption in colony life (one frame at a time)
should,not do inspections of the hive at cold (winter) time
should,have gradual lighting of the frame while taking a photo to not blind/affect bees
should,not risk bee healthy by having multiple colonies together in one congested space
should,have rounded areas to decrease risk of human getting hurt
could,"survive water submersion (floods, very heavy rains)"
could,"backward-compatible, follow existing beekeeping traditions. Ex. frame sizes, boxes etc"
could,do automatic pest control [remotely controlled]
could,measure and send audio of hive internals (4-channel) and externals (2-channel)
could,measure and send level of external illumination
could,record a video or stream of the hive frame side
could,get rid of fallen varroa mites on the hive bottom
