feature name,verticality,goal / problem solved,Status,billing plan," concept hierarchy path",Assigned to,Blocked by,Blocking,Date,Idea by,Priority,Tags,Tasks,Youtube guide,estimate,impact = priority %
Share of beehive inspection public URL,vertical,"Lack of knowledge / experience (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Lack%20of%20knowledge%20experience%2076651a1939d34d268d71974da0b048e9.html), Honey certification & trust (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Honey%20certification%20&%20trust%200da4be01316f448cb0ed32dc572b886a.html)",Groomed,2-essential,,,Public beehive view (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Public%20beehive%20view%2084f9beec8ae04918b644177540e74243.html),,"August 4, 2024 → August 17, 2024",Sergei Kaskov (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Friends%206b51c9883cd94fe8a70a4ae548d1970a/Advisors-db%20af2ec59abbb847bba31ba091372e5507/Sergei%20Kaskov%20530df848d0c54b94a3ae2b12f46c92b4.html),33,"backend, frontend",,,3,100
Varroa Treatment diary,vertical,Infestation of Varroa mite (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Infestation%20of%20Varroa%20mite%203a67aa627e0f438592cc7fb34e81d866.html),Groomed,3-professional,,,,,,,25,"backend, frontend",Mark box having treatment strips (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Mark%20box%20having%20treatment%20strips%20e429195acbe14f0081d6086ca9174a72.html),,3,75
Alerts,horizontal,"Distant locations (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Distant%20locations%202a2e75c03b294fc9949eed71f94bfe7d.html), Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html)",Groomed,2-essential,,,,Weather alerts (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Weather%20alerts%20a930050b479e4b6cacfdae2fed669146.html),"June 19, 2024 → July 2, 2024",,23,"backend, frontend","add email alerts (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/add%20email%20alerts%2062c895a12e4b4462a61336a044e9310b.html), add SMS alerts (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/add%20SMS%20alerts%202f7f0d1017804b6da4975861ca477623.html)",,3,70
Public beehive view,vertical,Lack of knowledge / experience (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Lack%20of%20knowledge%20experience%2076651a1939d34d268d71974da0b048e9.html),Groomed,1-community,,,,Share of beehive inspection public URL (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Share%20of%20beehive%20inspection%20public%20URL%20477d096f683542f4a182e53ff5f23780.html),"July 20, 2024 → August 2, 2024",,20,"backend, frontend",,,5,100
Product onboarding videos & UI,horizontal,,Groomed,1-community,,,,,,,20,frontend,,,3,60
varroa mite detection,vertical,Infestation of Varroa mite (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Infestation%20of%20Varroa%20mite%203a67aa627e0f438592cc7fb34e81d866.html),Groomed,2-essential,apiary/hive/box/frame/frame-side/file,,,,"June 9, 2024 → June 17, 2024",,20,"IoT, ML, backend, frontend",,,5,100
Count bees coming in/out,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Groomed,4-entrance-counter,,,,,"May 21, 2024 → June 1, 2024",,18,"IoT, ML, backend",Integrate bee counting on the edge (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Integrate%20bee%20counting%20on%20the%20edge%20349110a6971c44b496c663b667144b9c.html),,5,90
Hornet attack detection,vertical,Hornet attacks (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Hornet%20attacks%202142670c5ca64b969786e53bf538bdcd.html),Groomed,4-entrance-counter,apiary/hive/box/frame/frame-side/file,,,Close mechanised hive entrance in case of hornet attack (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Close%20mechanised%20hive%20entrance%20in%20case%20of%20hornet%20a%20c666e28eefdd45d780c9540746ef9903.html),"July 5, 2024 → July 18, 2024",,18,"IoT, ML, backend",,,5,90
Drone brood detection,vertical,"Colony with drone-laying queen / laying workers (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20with%20drone-laying%20queen%20laying%20workers%20eee9c836e8af43fba2da69d30e66af2b.html), Colony starvation (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20starvation%209925e34207b94b7e9da10e0dcfdf6e47.html)",Groomed,2-essential,,,,,,,16,"ML, backend, frontend",,,5,80
Queen management,vertical,"Colony without a queen (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20without%20a%20queen%201bfd4efcafef44fe9383b60796c1ea3f.html), Swarming (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Swarming%2013184fe7583e452dbbc8c4e57333ef97.html), Colony with drone-laying queen / laying workers (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20with%20drone-laying%20queen%20laying%20workers%20eee9c836e8af43fba2da69d30e66af2b.html)",Groomed,1-community,apiary/hive,,,,"June 9, 2024 → June 17, 2024",,14,"backend, frontend","Separate queen presense toggling from detected queens (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Separate%20queen%20presense%20toggling%20from%20detected%20que%20ad69d0c43969492da157a31729068c46.html), Show queen age (1 year) instead of birth year (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Show%20queen%20age%20(1%20year)%20instead%20of%20birth%20year%20162607ca42c74d6b843cceaa1a211c03.html)",,5,70
