Category,Name,Item price,Items,Price,Ordered,Priority,Vendor,URL,Requirements
robot,"FUYU FSK40 Gantry Linear Guide Stage XYZ Slide Table X=600mm,Y=600mm,Z=400mm Stroke Linear Stage Module for DIY",1000,1,1000,yes,100,FUYA 🇨🇳,https://www.amazon.com/dp/B0C5QKGHSR?ref=ppx_yo2ov_dt_b_product_details&th=1,
robot,Step motor controller(s) TB6600,24,3,72,,100,Twotrees,https://www.amazon.com/dp/B07SZT1W3T?ref=ppx_yo2ov_dt_b_product_details&th=1,
robot,Step motor controller DM542,1,19,19,yes,100,Twotrees,https://www.amazon.de/-/en/gp/product/B093LFXT5S/,
robot,Mechanical claw,1,31,31,yes,80,Perfeclan,https://www.amazon.de/-/en/gp/product/B07QNRW83L/ref=ewc_pr_img_8?smid=A2IZTO71ETFK6W&th=1,
robot,Servo motor (for the claw),4.8,5,24,yes,80,Miuzei,https://www.amazon.de/-/en/Miuzei-Digital-Servo-Motor-Torque/dp/B0C4T73SMB/,
vision,Jetson Orin Nano Motherboard (CPU+GPU),454,1,454,yes,100,"Nvidia Jetson Orin Nano
(8GB RAM)",https://www.amazon.com/gp/product/B0BZJTQ5YP/ref=ppx_yo_dt_b_asin_title_o00_s01?ie=UTF8&psc=1,"need high resolution to see mites
send results to main SaaS platform (WiFi / LoRaWan / 4G)"
vision,Frame camera(s),141,2,282,yes,100,MOKOSE 4K@30fps,https://www.amazon.com/dp/B0814VFG12?ref=ppx_yo2ov_dt_b_product_details&th=1,"• internal camera (or camera array) should give us high-resolution (min 20MP) result of the entire frame
• an array of 3-9 cameras? pros = better vision of cells. cons = price and complexity (wiring, stitching image together)
• a scanner? = moving parts = risky"
vision,Wi-Fi networking,22,1,22,yes,80,,https://www.amazon.com/gp/product/B07SM4SPLV/ref=ewc_pr_img_4?smid=A2SA28G0M1VPHD&psc=1,send results to main SaaS platform (WiFi / 4G). Optional replacement - Lorawan (gateway by the customer)
vision,Entrance camera(s),20,2,40,yes,80,,https://www.amazon.com/dp/B07VFFRX4C?psc=1&ref=ppx_yo2ov_dt_b_product_details,"Can be low-cost, need to have ~8MP

• do we need stereo for depth / disparity mapping?
• focal point of ~10-15 cm, need to capture entrance that is 15cm wide"
vision,"NVMe SSD (alternative to memory card), 1TB",35,1,35,yes,80,SanDisk 250GB M2 3.5GB/s,https://www.amazon.de/dp/B0CN3LQSBZ?psc=1&ref=ppx_yo2ov_dt_b_product_details,
vision,DisplayPort → HDMI cable,22,1,22,yes,,,,
vision,Camera to jetson cable (24pin-15pin),5,2,10,yes,,,,
"body, vision",Display,49,1,49,yes,20,Hosyond 7 Inch IPS LCD Touch Screen 1024×600 Capacitive Screen HDMI,https://www.amazon.com/gp/product/B0BKGCB18T/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&th=1,show statistics of the hive on the device itself
body,Motherboard case,25,1,25,yes,40,Yahboom Jetson Nano Case,https://www.amazon.com/dp/B08V1NG3HK?ref=ppx_yo2ov_dt_b_product_details&th=1,
body,Frame camera mount,14,2,28,yes,,,https://www.amazon.com/gp/product/B0936WKB3L/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,
body,Aluminium profile 20x20x300mm,9.35,10,93.5,yes,,,https://www.amazon.de/-/en/gp/product/B09M3ZWZST/ref=sw_img_1?smid=ANJ06VCWYN0N0&th=1,stand for both hive and robotic block
body,Aluminium profile 20x20x1000mm,10,20,200,yes,,,https://www.amazon.de/-/en/gp/product/B09M3ZWZST/ref=sw_img_1?smid=ANJ06VCWYN0N0&th=1,
body,Aluminium profile inner L-corner,0.7,40,28,yes,,,https://www.amazon.de/-/en/Befenybay-Corner-Connector-Aluminium-Extruded/dp/B092Z1HR1K/,
body,Aluminium profile angle,0.8076923076923077,52,42,yes,,,https://www.amazon.de/-/en/gp/product/B0B4FZQ4FP/ref=sw_img_1?smid=ANJ06VCWYN0N0&th=1,
electric,Body / Power management,19,1,19,yes,60,AVAWO® DC 24V15A,https://www.amazon.com/dp/B0146IAXYO?psc=1&ref=ppx_yo2ov_dt_b_product_details,24V internal. 220V external cord requried
electric,Electric wiring 0.52mm2,19,1,19,yes,,,https://www.amazon.de/-/en/gp/product/B07TRM2G8W/ref=ppx_yo_dt_b_asin_title_o01_s03?ie=UTF8&th=1,
electric,Electric wiring connectors,30,1,30,yes,,,https://www.amazon.de/-/en/gp/product/B0C8N8JBDC/ref=ppx_yo_dt_b_asin_title_o01_s03?ie=UTF8&th=1,
body,Wooden walls,4,,0,no,,,,
body,Plexiglass walls,2,,0,no,,,,
body,Aluminium profile end caps,0.26571428571428574,35,9.3,yes,,,https://www.amazon.de/-/en/gp/product/B09KPYJ3QH/,
body,Door handle(s),4,2,8,yes,,,https://www.amazon.de/-/en/gp/product/B0CCD3X5KQ/,
body,Wooden planks / facade,,,0,no,,Thermory?,,
electric,Cable terminals (4ports),1.62,10,16.2,yes,,,https://www.aliexpress.com/item/1005004895260182.html,
robot,Limit switches,0.6666666666666666,6,4,yes,,,https://www.aliexpress.com/item/33023678899.html,
electric,Buttons,1.6,5,8,yes,,,https://www.aliexpress.com/item/1005006954287671.html,
electric,Internal lighting - addressable LED strip WS2811,3,2,6,yes,100,,https://www.aliexpress.com/item/1005006385463463.html,"We don’t want to disrupt the bees, so internal lighting should be dimmable (gradual) when it turns on to take a photo"
robot,PIN extension (PCA9685),,,0,,,,,
