🛴 Features,Name,type,Estimate,Impact (%),Status,Tags,Responsibility taken by,Priority
Video streaming playback (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Video%20streaming%20playback%207214e1994f564d4b8888a5acae7318f0.html),Design UI for hive entrance video replay,improvement,,,In progress,UX,Kurban Ramazanov (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Kurban%20Ramazanov%203b92fe8960a54a71b16dc772d762a5ca.html),0
,Redesign UI components,,,,done,,Kurban Ramazanov (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Kurban%20Ramazanov%203b92fe8960a54a71b16dc772d762a5ca.html),0
Full hive inspection (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Full%20hive%20inspection%207d0f89c8a9de4ab3a8eb9e516b7f7172.html),"Redesign Robotic Beehive (Robotic%20Beehive%20fd9559a2950b44bc8291972299ced18e.html) with more CAD details - Robotics (../Engineering%201444af91265b47fc8a4f55b4f28206f3/Robotics%201d7756ebf56e4a30ba652a128b583f82.html) ",,13,8,done,,Muhammad Zain Shakeel (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Muhammad%20Zain%20Shakeel%202d23d6d855524479a13552f9a74d5bd2.html),1
Varroa Treatment diary (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Varroa%20Treatment%20diary%2090030bfde0c749ce922d43a2d46c273a.html),Mark box having treatment strips,new feature,2,90,groomed,"backend, frontend",,45
Queen management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Queen%20management%2022a0d681d48444de984f38ece23e9566.html),Separate queen presense toggling from detected queens,bug,2,80,groomed,"backend, frontend",,40
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),add queen excluder type of box,,2,70,done,,,35
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),add bottom type of box,new feature,2,70,groomed,"backend, frontend",,35
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),"In apiary view, show table list of hives with hive status",,2,70,done,,,35
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),Add classic roof top,new feature,2,50,groomed,"backend, frontend",,25
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),add horizontal feed box,,2,50,done,,,25
Honeycomb cell detection (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Honeycomb%20cell%20detection%20e9ff03128cdb489293737b8a4c1e7098.html),Update beehive section frame cell type ratios on update,bug,3,60,groomed,,,20
API token management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/API%20token%20management%20796de50aa11a48d7b88ce99fc2e2beff.html),Add API token removal,improvement,3,60,groomed,"backend, frontend",,20
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),Add ability to create a nucleus (5 frames),,3,50,not groomed,,,17
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),Mark box as having a candy feeding,,3,50,not groomed,,,17
Video streaming API (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Video%20streaming%20API%202d7a22aaf3a74b8e831f2a409c243e69.html),Handle network disconnects on client side,improvement,3,50,not groomed,,,17
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),Add ventilation type of a box,,3,50,not groomed,,,17
Analytics with grafana (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Analytics%20with%20grafana%20044239bdf92544a0a1ed95258d812e04.html),Setup influx DB under telemetry-api,,3,50,not groomed,,,17
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),Add box size selection,new feature,3,50,groomed,"backend, frontend",,17
User login (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/User%20login%2057ec6e1649d3449c912b7361f5f4d37d.html),user-cycle - autologin if user session exists,,2,30,done,,,15
User login (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/User%20login%2057ec6e1649d3449c912b7361f5f4d37d.html),user-cycle - Login with google,,5,70,done,,,14
Analytics - demography and simulation (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Analytics%20-%20demography%20and%20simulation%20b438f638fe694c06b66f9249b6bb0e88.html),Calculate daily bee loss based on gate traffic stats,,5,70,not groomed,,,14
,Make frontpage multilingual & dependent on browser language to improve engagement,improvement,3,40,not groomed,,,13
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),Hive numbering (manual / automated),,3,40,not groomed,,,13
Alerts (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Alerts%208b65dea8fc164a7f91b0a76fa0948189.html),add email alerts,,3,40,not groomed,,,13
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),move frames between boxes,,5,60,not groomed,,,12
Count bees coming in/out (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Count%20bees%20coming%20in%20out%209337ac850236440cb4667fb624d9aaec.html),Integrate bee counting on the edge,new feature,7,80,not groomed,,,11
Frame side management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20management%20ccfbfe36e0864770b5f77644cb44cbda.html),fix drawing on a frame -> clicking clear -> draw again,bug,7,80,not groomed,,,11
,"Telemetry API - Add graphQL API for influx to have hive data storeable (sound, temperature, humidity)",,5,50,not groomed,,,10
Analytics with grafana (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Analytics%20with%20grafana%20044239bdf92544a0a1ed95258d812e04.html),Add grafana UI to influx for public visibility. Tie access control to accounts,,5,50,not groomed,,,10
