hive area + method,Team / University,Publication Name,year,method,Authors,URL
"Entrance Observer (Products%2058e0ca42932f483aa6654f96baccb97a/Entrance%20Observer%20b0319799ab7744dc928c08119de4fc43.html) ",South Westphalia University of Applied Sciences,BeeAlarmed. Masters thesis,2021,image/video,"Hickert F., Ries S.",
"Entrance Observer (Products%2058e0ca42932f483aa6654f96baccb97a/Entrance%20Observer%20b0319799ab7744dc928c08119de4fc43.html) ",Federal University of Itajuba in Brazil,"https://ieeexplore.ieee.org/author/37089258624 Master thesis - Pi Zero 2W, Yolo v8",2024,,"Ferreira Filho JA, Reis J",https://www.hackster.io/518000/buzztech-machine-learning-at-the-edge-07c951
,Utah State University,https://www.mdpi.com/1424-8220/23/5/2584https://www.mdpi.com/1424-8220/23/5/2584https://www.mdpi.com/1424-8220/23/5/2584,2023,,"Coster D, Hornberger D, Kulyukin AV, Kulyukin V, Tkachenko A",
nest,Kingston University,https://www.mdpi.com/2079-9292/12/7/1627,2023,audio,"Duran O, Hunter G, Nebel JC, Ruvinga S",
,,BeeNet: An End-To-End Deep Network For Bee Surveillance,2023,,,
,,"Honey bees (Apis mellifera) modify plantpollinator network structure, but do not alter wild species’ interactions",2023,,"Acorn JH, Frost CM, Worthy SH",
"👁️‍🗨️Entrance Observer ",Puerto Rico,https://www.frontiersin.org/articles/10.3389/fcomp.2021.769338/full,2022,image / video,"Agosto-Rivera JL, Alvarez Rios M, Branson K, Chan J, Giray T, Mégret R, Rodriguez IF",
"👁️‍🗨️Entrance Observer ",Puerto Rico,https://jachansantiago.com/assets/pdf/VISAPP.pdf,2022,image / video,"Agosto-Rivera JL, Carrion H, Chan J, Giray T, Mégret R",
,Utah State University,"Integration of Scales and Cameras in Nondisruptive Electronic
Beehive Monitoring: On the Within-Day Relationship of Hive
Weight and Traffic in Honeybee (Apis mellifera) Colonies in
Langstroth Hives in Tucson, Arizona, USA
",2022,,"Kulyukin V, Meikle W, Price K, Tkachenko A, Weiss M",
"👁️‍🗨️Entrance Observer ",Brno University of Technology,https://arxiv.org/pdf/2208.00085.pdf,2022,image / video,"Bilik S, Horak K, Kratochvila L, Ricanek D, Richter M, Zambanini S, Zemcik T",
"👁️‍🗨️Entrance Observer ",Utah State University,https://www.mdpi.com/2076-3417/11/5/2276,2021,image / video,"Kulyukin V, Minichiello A, Mukherjee S, Truscott T",
"👁️‍🗨️Entrance Observer ",Utah State University," https://www.mdpi.com/2076-3417/11/10/4632",2021,image / video,Kulyukin V,
"👁️‍🗨️Entrance Observer ",Utah State University,https://www.mdpi.com/2076-3417/11/17/8141,2021,image / video,Kulyukin V,
nest,Okinawa Institute of Science and Technology Graduate University,https://www.nature.com/articles/s41467-021-21769-1,2021,image / video,"Bozek K, Hebert L, Mikheyev A, Portugal Y, Stephens G",
"👁️‍🗨️Entrance Observer ",Incheon National University,Honeybee In-Out Monitoring System by Object Recognition and Tracking from Real-Time Webcams,2021,video,"Choi BJ, Jeong CH, Jung JW, Kwon HW, Lee MI, Ryu JS",
"👁️‍🗨️Entrance Observer ",Utah State University,https://www.mdpi.com/2076-3417/10/6/2042,2020,image / video,"Kulyukin V, Mukherjee S",
nest,Federal Technological University of Paraná,https://bibliotecadigital.ipb.pt/bitstream/10198/22321/1/65.pdf,2020,image / video,"Alves T, Biron D, Filho PLDP, Giray T, Junior AC, Neves CJ, Pinto MA, Rodrigues PJ, Ventura P",
nest,,https://www.nature.com/articles/s41598-020-66115-5,2020,audio,"Bencsik M, Crauser D, Delso NS, Le Conte Y, Newton MI, Pioz M, Ramsey MT, Reyes M",
