Name,Start date,End date,URL,Organizer,Location
Kanal 7 interview,"March 20, 2024","March 20, 2024",,,
EAS.ee deeptech grant qualifications webinar,"March 27, 2024","March 27, 2024",,,MS Teams
Founders Live @ Tallinn,"February 29, 2024","February 29, 2024",founderslive.com,Jaanika Umalas,"Palo Alto Club, Tallinn, Estonia"
Startup Day 2024,"January 24, 2024","January 26, 2024",,,Tartu
Devclub.eu - dec 2023,"December 20, 2023","December 20, 2023",,,
EstoniAI Meetup v5,"December 6, 2023","December 6, 2023",https://lu.ma/EstoniAI5,Workland,"Fahle, Tallinn"
Garage 48 Cassini hackathon,"November 3, 2023","November 5, 2023",https://taikai.network/cassinihackathons/hackathons/intdev-humaid,Garage48,
Climathon hackathon,"October 27, 2023","October 28, 2023",https://www.facebook.com/events/1317371698987678,https://www.cleantechestonia.ee/,"Mektory, Tallinn"
Winner in API World + AI DevWorld Hackaton 2023,"October 27, 2023",,https://api-world-hackathon-2023.devpost.com/project-gallery,,Remote
Featured in a Delfi article,"October 23, 2023",,https://rus.delfi.ee/statja/120241694/programmist-pchelovod-u-menya-poyavilas-mechta-o-robote-kotoryy-budet-obsluzhivat-paseku-kak-vysokie-tehnologii-mogut-pomoch-pchelam,,
Participated in 3-day Tehnopol tech startup bootcamp,"October 10, 2023","October 17, 2023",https://www.tehnopol.ee/events/event/?organizer=3147&id=71426-tech-startup-bootcamp-3-paeva-x-online-x-vene-keeles,Tehnopol,remote
