Category,Name,Item price,Items,Price,Ordered,Priority,Vendor,URL,Requirements
robot,"Mechanism to extract frames (Mechanism%20to%20extract%20frames%201d7756ebf56e4a30ba652a128b583f82.html) ",1000,1,1000,yes,100,FUYA 🇨🇳,https://www.amazon.com/dp/B0C5QKGHSR?ref=ppx_yo2ov_dt_b_product_details&th=1,
robot,Step motor controller(s) TB6600,24,3,72,,100,Twotrees,https://www.amazon.com/dp/B07SZT1W3T?ref=ppx_yo2ov_dt_b_product_details&th=1,
robot,Step motor controller DM542,1,19,19,yes,100,Twotrees,https://www.amazon.de/-/en/gp/product/B093LFXT5S/,
robot,Mechanical claw,1,31,31,yes,,Perfeclan,https://www.amazon.de/-/en/gp/product/B07QNRW83L/ref=ewc_pr_img_8?smid=A2IZTO71ETFK6W&th=1,
vision,Jetson Orin Nano Motherboard (CPU+GPU),454,1,454,yes,100,"Nvidia Jetson Orin Nano
(8GB RAM)",https://www.amazon.com/gp/product/B0BZJTQ5YP/ref=ppx_yo_dt_b_asin_title_o00_s01?ie=UTF8&psc=1,"need high resolution to see mites
send results to main SaaS platform (WiFi / LoRaWan / 4G)"
vision,Frame camera(s),141,2,282,yes,100,MOKOSE 4K@30fps,https://www.amazon.com/dp/B0814VFG12?ref=ppx_yo2ov_dt_b_product_details&th=1,"• internal camera (or camera array) should give us high-resolution (min 20MP) result of the entire frame
• an array of 3-9 cameras? pros = better vision of cells. cons = price and complexity (wiring, stitching image together)
• a scanner? = moving parts = risky"
vision,Wi-Fi networking,22,1,22,yes,80,,https://www.amazon.com/gp/product/B07SM4SPLV/ref=ewc_pr_img_4?smid=A2SA28G0M1VPHD&psc=1,send results to main SaaS platform (WiFi / 4G). Optional replacement - Lorawan (gateway by the customer)
vision,Entrance camera(s),20,2,40,yes,80,,https://www.amazon.com/dp/B07VFFRX4C?psc=1&ref=ppx_yo2ov_dt_b_product_details,"Can be low-cost, need to have ~8MP

• do we need stereo for depth / disparity mapping?
• focal point of ~10-15 cm, need to capture entrance that is 15cm wide"
vision,Memory card,19,1,19,yes,80,SanDisk 256GB Extreme microSDXC,https://www.amazon.com/dp/B09X7CRKRZ?ref=ppx_yo2ov_dt_b_product_details&th=1,256 GB for on-edge video processing
vision,"NVMe SSD (alternative to memory card), 1TB",,,0,,,,,
vision,DisplayPort → HDMI cable,22,1,22,yes,,,,
vision,Camera to jetson cable (24pin-15pin),5,2,10,yes,,,,
"body, vision",Display,49,1,49,yes,20,Hosyond 7 Inch IPS LCD Touch Screen 1024×600 Capacitive Screen HDMI,https://www.amazon.com/gp/product/B0BKGCB18T/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&th=1,show statistics of the hive on the device itself
body,Motherboard case,25,1,25,yes,40,Yahboom Jetson Nano Case,https://www.amazon.com/dp/B08V1NG3HK?ref=ppx_yo2ov_dt_b_product_details&th=1,
body,Frame camera mount,7,1,7,yes,,,https://www.amazon.com/dp/B07YQHCCT1?ref=ppx_yo2ov_dt_b_product_details&th=1,
body,Aluminium profile 20x20x300mm,9.35,10,93.5,yes,,,https://www.amazon.de/-/en/gp/product/B09M3ZWZST/ref=sw_img_1?smid=ANJ06VCWYN0N0&th=1,stand for both hive and robotic block
body,Aluminium profile 20x20x1000mm,10,20,200,yes,,,https://www.amazon.de/-/en/gp/product/B09M3ZWZST/ref=sw_img_1?smid=ANJ06VCWYN0N0&th=1,
body,Aluminium profile inner L-corner,0.7,40,28,yes,,,https://www.amazon.de/-/en/Befenybay-Corner-Connector-Aluminium-Extruded/dp/B092Z1HR1K/,
body,Aluminium profile angle,0.8076923076923077,52,42,yes,,,https://www.amazon.de/-/en/gp/product/B0B4FZQ4FP/ref=sw_img_1?smid=ANJ06VCWYN0N0&th=1,
,Internal lighting,20,1,20,,100,,,"We don’t want to disrupt the bees, so internal lighting should be dimmable (gradual) when it turns on to take a photo"
electric,Body / Power management,19,1,19,yes,60,AVAWO® DC 24V15A,https://www.amazon.com/dp/B0146IAXYO?psc=1&ref=ppx_yo2ov_dt_b_product_details,24V internal. 220V external cord requried
electric,Electric wiring 0.52mm2,19,1,19,yes,,,https://www.amazon.de/-/en/gp/product/B07TRM2G8W/ref=ppx_yo_dt_b_asin_title_o01_s03?ie=UTF8&th=1,
electric,Electric wiring connectors,30,1,30,yes,,,https://www.amazon.de/-/en/gp/product/B0C8N8JBDC/ref=ppx_yo_dt_b_asin_title_o01_s03?ie=UTF8&th=1,
body,Wooden walls,4,,0,no,,,,
body,Plexiglass walls,2,,0,no,,,,
body,Aluminium profile end caps,0.26571428571428574,35,9.3,yes,,,https://www.amazon.de/-/en/gp/product/B09KPYJ3QH/,
body,Door handle(s),4,2,8,yes,,,https://www.amazon.de/-/en/gp/product/B0CCD3X5KQ/,
