Tags,Name
must,"not kill bees [with moving mechanisms, hypothermia, open to stealing or attacks via cracks]"
must,make on-demand frame photo within 1 minute time
must,"make on-demand inspection. Move out 10 frames, take photos from both sides"
must,frame photo resolution should be > 15 MP
must,stream entrance stream on-demand
must,be able to extract frame if bees glued it with wax
must,move frame that is full of honey (4kg)
must,"close entrance in case of danger (hornets, stealing behaviour)"
must,count bees at the entrance
must,"be repairable (modular, hot-swappable)"
must,be offline-first. Provide data to beekeeper without internet or cloud account
must,provide manual on-site control over frame movement
must,fallback to safe mode on power loss
must,fallback to safe mode on internet connection loss
must,extract 8-10 frames per box
should,"allow manual extraction/replacement of specific frame by beekeeper, without opening the hive (for cross-family resource balancing, honey separation etc)"
should,take into account bee morphology for material design (bee’s grip)
should,"container box vary in size depending on frame size (langstroth, estonian, farrar, dadan etc)"
should,decrease entrance in case of high wind weather (storm)
should,take photos in the dark / poor lighting
should,not be affected by bees flying
should,survive winter temperatures of -30C
should,survive direct sunlight of +60C weather
should,not disturb bees or beekeeper with noise (occasional 55db max)
should,not have high-power (220V) voltage cords inside the hive near the bees
should,not have chemically/aroma active compounds (plastic) inside the hive
should,avoid (cold) metal exposed to bees inside the hive
should,keep hive internals at 50-60% humidity (ventilation on top)
should,design bee movements to be efficient while navigating inside the hive
should,do inspection without major interruption in colony life (one frame at a time)
should,not do inspections of the hive at cold (winter) time
should,have gradual lighting of the frame while taking a photo to not blind/affect bees
should,not risk bee healthy by having multiple colonies together in one congested space
could,"take 3-9 photos instead of 1 huge frame photo, but they must be taken at the same time"
could,assist with cooling/warming the hive
could,keep hive internals at constant 32-35.5 C temperature
could,"survive water submersion (floods, very heavy rains)"
could,"backward-compatible, follow existing beekeeping traditions. Ex. frame sizes, boxes etc"
could,be autonomous with solar power and batteries
could,do automatic pest control [remotely controlled]
could,do sugar syrup feeding [remotely controlled]
could,measure and send audio of hive internals (4-channel) and externals (2-channel)
could,measure and send level of external illumination
could,measure and send entire hive weight
could,record a video or stream of the hive frame side
could,get rid of fallen varroa mites on the hive bottom
