feature name,verticality,goal / problem solved,Status,billing plan," concept hierarchy path"
,,,Idea,,
Solar radiance as weather datasource,,,Idea,2-essential,
Colony comparison,,,Idea,3-professional,
SkyFi integration,,,Idea,3-professional,
User login,vertical (product),,Done,1-community,user
User registration + restore,vertical (product),,Done,1-community,user
User editing,vertical (product),,Done,1-community,user
Billing subscription,vertical (product),,Done,1-community,user
API token management,vertical (product),,Done,1-community,user
user language + translations,horizontal (platform),,Done,1-community,translations
progressive web app,horizontal (platform),,Done,1-community,pwa
Apiary management,vertical (product),Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20as%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary
Hive management,vertical (product),Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20as%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary/hive
Hive section/box management,vertical (product),Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20as%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary/hive/box
Visualization of detected objects on a frame photo,vertical (product),Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20as%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary/hive/box/frame/frame-side
Zoom of frame side photo,vertical (product),Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20as%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary/hive/box/frame/frame-side
Frame side photo upload,vertical (product),Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20as%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary/hive/box/frame/frame-side/file
Worker bee detection,vertical (product),,Done,1-community,apiary/hive/box/frame/frame-side/file/bees
Honeycomb cell detection,vertical (product),Colony starvation (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20as%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20starvation%209925e34207b94b7e9da10e0dcfdf6e47.html),Done,1-community,apiary/hive/box/frame/frame-side/file/cells
Frame side queen cup detection,vertical (product),Colony late swarming (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20as%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20late%20swarming%2013184fe7583e452dbbc8c4e57333ef97.html),Done,1-community,apiary/hive/box/frame/frame-side/file/queen-cups
